date,price
12/02/13,47.060001
12/03/13,46.73
12/04/13,48.619999
12/05/13,48.34
12/06/13,47.939999
12/09/13,48.84
12/10/13,50.25
12/11/13,49.380001
12/12/13,51.830002
12/13/13,53.32
12/16/13,53.810001
12/17/13,54.860001
12/18/13,55.57
12/19/13,55.049999
12/20/13,55.119999
12/23/13,57.77
12/24/13,57.959999
12/26/13,57.73
12/27/13,55.439999
12/30/13,53.709999
12/31/13,54.650002
01/02/14,54.709999
01/03/14,54.560001
01/06/14,57.200001
01/07/14,57.919998
01/08/14,58.23
01/09/14,57.220001
01/10/14,57.939999
01/13/14,55.91
01/14/14,57.740002
01/15/14,57.599998
01/16/14,57.189999
01/17/14,56.299999
01/21/14,58.509998
01/22/14,57.509998
01/23/14,56.630001
01/24/14,54.450001
01/27/14,53.549999
01/28/14,55.139999
01/29/14,53.529999
01/30/14,61.080002
01/31/14,62.57
02/03/14,61.48
02/04/14,62.75
02/05/14,62.189999
02/06/14,62.16
02/07/14,64.32
02/10/14,63.549999
02/11/14,64.849998
02/12/14,64.449997
02/13/14,67.330002
02/14/14,67.089996
02/18/14,67.300003
02/19/14,68.059998
02/20/14,69.629997
02/21/14,68.589996
02/24/14,70.779999
02/25/14,69.849998
02/26/14,69.260002
02/27/14,68.940002
02/28/14,68.459999
03/03/14,67.410004
03/04/14,68.800003
03/05/14,71.57
03/06/14,70.839996
03/07/14,69.800003
03/10/14,72.029999
03/11/14,70.099998
03/12/14,70.879997
03/13/14,68.830002
03/14/14,67.720001
03/17/14,68.739998
03/18/14,69.190002
03/19/14,68.239998
03/20/14,66.970001
03/21/14,67.239998
03/24/14,64.099998
03/25/14,64.889999
03/26/14,60.389999
03/27/14,60.970001
03/28/14,60.009998
03/31/14,60.240002
04/01/14,62.619999
04/02/14,62.720001
04/03/14,59.490002
04/04/14,56.75
04/07/14,56.950001
04/08/14,58.189999
04/09/14,62.41
04/10/14,59.16
04/11/14,58.529999
04/14/14,58.889999
04/15/14,59.09
04/16/14,59.720001
04/17/14,58.939999
04/21/14,61.240002
04/22/14,63.029999
04/23/14,61.360001
04/24/14,60.869999
04/25/14,57.709999
04/28/14,56.139999
04/29/14,58.150002
04/30/14,59.779999
05/01/14,61.150002
05/02/14,60.459999
05/05/14,61.220001
05/06/14,58.529999
05/07/14,57.389999
05/08/14,56.759998
05/09/14,57.240002
05/12/14,59.830002
05/13/14,59.830002
05/14/14,59.23
05/15/14,57.919998
05/16/14,58.02
05/19/14,59.209999
05/20/14,58.560001
05/21/14,60.490002
05/22/14,60.52
05/23/14,61.349998
05/27/14,63.48
05/28/14,63.509998
05/29/14,63.830002
05/30/14,63.299999
06/02/14,63.080002
06/03/14,62.869999
06/04/14,63.34
06/05/14,63.189999
06/06/14,62.5
06/09/14,62.880001
06/10/14,65.769997
06/11/14,65.779999
06/12/14,64.290001
06/13/14,64.5
06/16/14,64.190002
06/17/14,64.400002
06/18/14,65.599998
06/19/14,64.339996
06/20/14,64.5
06/23/14,65.370003
06/24/14,65.720001
06/25/14,67.440002
06/26/14,67.129997
06/27/14,67.599998
06/30/14,67.290001
07/01/14,68.059998
07/02/14,66.449997
07/03/14,66.290001
07/07/14,65.290001
07/08/14,62.759998
07/09/14,64.970001
07/10/14,64.870003
07/11/14,66.339996
07/14/14,67.900002
07/15/14,67.169998
07/16/14,67.660004
07/17/14,66.410004
07/18/14,68.419998
07/21/14,69.400002
07/22/14,69.269997
07/23/14,71.290001
07/24/14,74.980003
07/25/14,75.190002
07/28/14,74.919998
07/29/14,73.709999
07/30/14,74.68
07/31/14,72.650002
08/01/14,72.360001
08/04/14,73.510002
08/05/14,72.690002
08/06/14,72.470001
08/07/14,73.169998
08/08/14,73.059998
08/11/14,73.440002
08/12/14,72.830002
08/13/14,73.769997
08/14/14,74.300003
08/15/14,73.629997
08/18/14,74.589996
08/19/14,75.290001
08/20/14,74.809998
08/21/14,74.57
08/22/14,74.57
08/25/14,75.019997
08/26/14,75.959999
08/27/14,74.629997
08/28/14,73.860001
08/29/14,74.82
09/02/14,76.68
09/03/14,75.830002
09/04/14,75.949997
09/05/14,77.260002
09/08/14,77.889999
09/09/14,76.669998
09/10/14,77.43
09/11/14,77.919998
09/12/14,77.480003
09/15/14,74.580002
09/16/14,76.080002
09/17/14,76.43
09/18/14,77
09/19/14,77.910004
09/22/14,76.800003
09/23/14,78.290001
09/24/14,78.540001
09/25/14,77.220001
09/26/14,78.790001
09/29/14,79
09/30/14,79.040001
10/01/14,76.550003
10/02/14,77.080002
10/03/14,77.440002
10/06/14,77.559998
10/07/14,76.290001
10/08/14,77.519997
10/09/14,75.910004
10/10/14,72.910004
10/13/14,72.989998
10/14/14,73.589996
10/15/14,73.209999
10/16/14,72.629997
10/17/14,75.949997
10/20/14,76.949997
10/21/14,78.690002
10/22/14,78.370003
10/23/14,80.040001
10/24/14,80.669998
10/27/14,80.279999
10/28/14,80.769997
10/29/14,75.860001
10/30/14,74.110001
10/31/14,74.989998
11/03/14,73.879997
11/04/14,75.760002
11/05/14,74.830002
11/06/14,75.260002
11/07/14,75.599998
11/10/14,75
11/11/14,74.610001
11/12/14,74.720001
11/13/14,74.25
11/14/14,74.879997
11/17/14,74.239998
11/18/14,74.339996
11/19/14,73.330002
11/20/14,73.599998
11/21/14,73.75
11/24/14,74.010002
11/25/14,75.629997
11/26/14,77.620003
11/28/14,77.699997
12/01/14,75.099998
12/02/14,75.459999
12/03/14,74.879997
12/04/14,75.239998
12/05/14,76.360001
12/08/14,76.519997
12/09/14,76.839996
12/10/14,76.18
12/11/14,77.730003
12/12/14,77.830002
12/15/14,76.989998
12/16/14,74.690002
12/17/14,76.110001
12/18/14,78.400002
12/19/14,79.879997
12/22/14,81.449997
12/23/14,80.610001
12/24/14,80.769997
12/26/14,80.779999
12/29/14,80.019997
12/30/14,79.220001
12/31/14,78.019997
01/02/15,78.449997
01/05/15,77.190002
01/06/15,76.150002
01/07/15,76.150002
01/08/15,78.18
01/09/15,77.739998
01/12/15,76.720001
01/13/15,76.449997
01/14/15,76.279999
01/15/15,74.050003
01/16/15,75.18
01/20/15,76.239998
01/21/15,76.739998
01/22/15,77.650002
01/23/15,77.830002
01/26/15,77.5
01/27/15,75.779999
01/28/15,76.239998
01/29/15,78
01/30/15,75.910004
02/02/15,74.989998
02/03/15,75.400002
02/04/15,75.629997
02/05/15,75.610001
02/06/15,74.470001
02/09/15,74.440002
02/10/15,75.190002
02/11/15,76.510002
02/12/15,76.230003
02/13/15,75.739998
02/17/15,75.599998
02/18/15,76.709999
02/19/15,79.419998
02/20/15,79.900002
02/23/15,78.839996
02/24/15,78.449997
02/25/15,79.559998
02/26/15,80.410004
02/27/15,78.970001
03/02/15,79.75
03/03/15,79.599998
03/04/15,80.900002
03/05/15,81.209999
03/06/15,80.010002
03/09/15,79.440002
03/10/15,77.550003
03/11/15,77.57
03/12/15,78.93
03/13/15,78.050003
03/16/15,78.07
03/17/15,79.360001
03/18/15,80.910004
03/19/15,82.75
03/20/15,83.800003
03/23/15,84.43
03/24/15,85.309998
03/25/15,82.919998
03/26/15,83.010002
03/27/15,83.300003
03/30/15,83.199997
03/31/15,82.220001
04/01/15,81.669998
04/02/15,81.559998
04/06/15,82.440002
04/07/15,82.32
04/08/15,82.279999
04/09/15,82.169998
04/10/15,82.040001
04/13/15,83.010002
04/14/15,83.519997
04/15/15,82.709999
04/16/15,82.309998
04/17/15,80.779999
04/20/15,83.089996
04/21/15,83.620003
04/22/15,84.629997
04/23/15,82.410004
04/24/15,81.529999
04/27/15,81.910004
04/28/15,80.68
04/29/15,80.470001
04/30/15,78.769997
05/01/15,78.989998
05/04/15,78.809998
05/05/15,77.559998
05/06/15,78.099998
05/07/15,78.43
05/08/15,78.510002
05/11/15,78.010002
05/12/15,77.459999
05/13/15,78.440002
05/14/15,81.370003
05/15/15,80.419998
05/18/15,80.879997
05/19/15,80.629997
05/20/15,80.550003
05/21/15,80.480003
05/22/15,80.540001
05/26/15,79.330002
05/27/15,80.550003
05/28/15,80.150002
05/29/15,79.190002
06/01/15,80.290001
06/02/15,80.440002
06/03/15,82.440002
06/04/15,82.050003
06/05/15,82.139999
06/08/15,80.669998
06/09/15,80.669998
06/10/15,82.160004
06/11/15,81.830002
06/12/15,81.529999
06/15/15,80.709999
06/16/15,81.059998
06/17/15,81.790001
06/18/15,82.910004
06/19/15,82.510002
06/22/15,84.739998
06/23/15,87.879997
06/24/15,88.860001
06/25/15,87.980003
06/26/15,88.010002
06/29/15,85.800003
06/30/15,85.769997
07/01/15,86.910004
07/02/15,87.290001
07/06/15,87.550003
07/07/15,87.220001
07/08/15,85.650002
07/09/15,85.879997
07/10/15,87.949997
07/13/15,90.099998
07/14/15,89.68
07/15/15,89.760002
07/16/15,90.849998
07/17/15,94.970001
07/20/15,97.910004
07/21/15,98.389999
07/22/15,97.040001
07/23/15,95.440002
07/24/15,96.949997
07/27/15,94.169998
07/28/15,95.290001
07/29/15,96.989998
07/30/15,95.209999
07/31/15,94.010002
08/03/15,94.139999
08/04/15,94.059998
08/05/15,96.440002
08/06/15,95.120003
08/07/15,94.300003
