date,bullishness
2112013,-0.755702215
2142015,-0.03285425
2112015,-0.615353573
9242015,-0.69404091
9242014,-0.859214283
4182013,-0.68683448
1312013,-0.47577649
1132015,-0.55365605
6252013,-0.5958146
8302016,-0.72954147
12042013,-0.601247293
6252015,0.43216408
6252014,-0.53134713
11112013,-0.39575875
12042015,-0.834320065
9172015,-0.756835775
12042012,-0.56294051
1132014,0.66398356
2132014,0.117336047
2132015,-0.742860875
6132013,-0.19973329
6132014,-0.49865179
4312017,0.505587975
4312014,0.052895255
2132013,-0.5084165
9172013,-0.731111333
7122017,0.52270901
7122013,0.41631938
5282014,-0.78109608
6132016,0.03641374
5282013,-0.55596894
4312015,-0.60389613
12052013,-0.55825023
12052012,-0.487188657
3042015,0.26853858
8262014,-0.672049565
3292016,-0.74371407
2162016,-0.981674865
10282013,-0.299159215
10282014,-0.761424325
2172015,-0.54661934
10282016,0.6460574
2172017,-0.70193212
5012017,0.505587975
5012014,0.052895255
5012015,-0.60389613
3162016,0.070838605
3162017,0.41679017
12282015,-0.5882652
12282012,-0.54397799
12282013,-0.64124281
5302017,-0.62835404
9162016,-0.481226905
4222017,0.75240539
9162014,-0.5698696
4222015,-0.449987705
9162013,-0.50220531
11162012,-0.472007752
4282016,-0.655252822
7272017,0.642114885
2242016,-0.53061078
2222014,-0.737459105
2242014,0.520901065
2242015,0.17161468
2222016,-0.93076806
1162016,0.5767268
7022014,-0.32017413
1162014,0.574789105
5082017,0.44437651
1162013,-0.76580306
5082014,-0.10689059
5122016,-0.59636327
5122014,-0.533602365
10032014,0.47717916
8252015,-0.737992545
4132016,-0.71452961
4132015,-0.316607516
9042014,-0.247100667
7062017,-0.61780011
6262017,-0.79840337
7062015,0.68876763
8052013,0.5578135
8052014,0.216523047
9222017,0.36261417
7232014,-0.320526808
7232015,-0.417038603
6112014,-0.700078057
6112015,-0.43043412
6112013,-0.75965812
7232013,-0.432322553
5232013,-0.49991693
12242015,-0.54187347
8122015,0.166345573
11212013,-0.512615073
12232013,0.685341035
3282014,0.204627117
3282013,-0.97519928
12232014,-0.392559184
6202016,-0.52444326
12092015,-0.80003899
6202013,-0.89108229
3022017,-0.69573272
3022015,-0.65630882
9182015,-0.231003036
11202015,-0.241527433
2282013,-0.497821225
2282017,-0.60033605
11202013,-0.77696024
11202012,0.56177639
9282015,-0.62953002
4142014,0.64017346
4092015,0.53672024
6172015,-0.52670774
7192013,-0.56561235
7192017,0.276329353
6172016,-0.590892264
3272014,-0.039051117
3272015,0.9528259
11152013,-0.971938385
2232013,-0.658789
3272013,-0.968418905
10262015,-0.615923306
2062014,-0.38404258
8292014,0.449403855
6072015,-0.45874785
9282017,-0.70251217
6022014,-0.184260237
8072017,0.57653141
10282015,-0.47784122
2202013,-0.7990886
2202016,-0.73994157
2202017,-0.67927867
2202015,-0.455850027
2132017,-0.366786023
10282017,-0.71448113
7302014,-0.60489997
7302015,-0.047229103
5072013,-0.54413625
5132016,-0.35732874
2102017,0.52185679
4142016,-0.603337634
8312017,0.47219194
8222013,-0.051979937
2102015,0.58179087
8222014,-0.61993827
6172014,-0.722767688
9192014,-0.22505833
2032015,-0.4660192
4282017,-0.50203048
5062015,-0.53218086
9192013,-0.614374137
3012017,-0.92818176
7172013,-0.95430248
7172014,-0.1760476
7132015,-0.47704056
10252017,-0.668528874
7132016,-0.53849404
10252013,-0.48227597
1072013,0.35331293
11062014,-0.8097035
9082015,0.6535007
9082014,0.003925783
9142016,-0.6047548
6052017,-0.462575368
6042013,-0.57001184
6042015,0.541769795
1262015,-0.52154831
9122013,-0.34240438
2042016,-0.80147299
10252016,-0.63726065
4262016,-0.38567021
9122017,-0.75025574
9122014,-0.82564809
2042013,-0.652875815
9132017,-0.599469901
12032013,-0.452901538
2122015,-0.54393231
2122014,0.42412408
3132015,0.40145592
2122013,-0.621030607
3172015,-0.475981387
3172014,0.488300323
8132014,0.36763
8132015,-0.630767045
8132013,0.655047657
2012017,0.632028403
4172014,0.62035316
4172013,-0.496816303
2082013,-0.299462493
5162016,0.503399573
5162014,-0.12028966
10072014,0.4498346
10072016,-0.54897874
1102013,-0.031754825
10222014,0.213781578
10222013,-0.083436928
9232014,-0.83959883
9232015,-0.54516239
9232013,-0.6876758
11012012,-0.573882985
10182017,0.48447933
5272015,-0.43655884
5272013,-0.4898347
9152014,-0.13131128
11082017,-0.634683523
9162015,-0.456969767
9062017,0.151195933
4222013,-0.373018427
2312014,-0.587321985
1232014,-0.725003045
1232013,-0.5137237
1262016,0.90655888
9012016,-0.55835955
7282017,0.54761227
7282016,-0.43445079
10102014,-0.686793583
10102017,-0.537845935
10102016,-0.69510925
5232017,-0.86541285
11092017,-0.081119012
11122012,-0.745459993
5042016,-0.693119775
5042015,-0.41772033
11092015,-0.433935385
8192016,-0.715421755
11312014,-0.82751216
3182015,0.24405568
2262013,-0.57186386
7152013,-0.775038347
2262015,-0.01266897
3212017,0.69094659
1082016,-0.73096947
1082014,-0.43052512
1082013,-0.61793456
10092017,0.08088304
2272013,-0.462233027
2272015,0.60748901
2272014,0.54273994
2272017,-0.97107624
10192015,-0.96046252
1062014,0.41721283
1062017,-0.204969113
1062016,-0.369990007
8242015,-0.473467785
12012014,-0.82751216
4112017,-0.50436429
4242014,-0.07146679
12302015,-0.63895491
9102015,-0.36584933
11192015,0.48179314
11192014,-0.63631859
11262013,-0.4710825
11262012,-0.62582257
11192013,-0.71054316
11192012,-0.4448548
3112016,-0.48278784
3112015,-0.433959642
10212013,-0.292727557
10212014,0.201868708
1052015,0.64765113
2102013,-0.987760847
4242013,-0.200259562
4282014,-0.14184376
4282015,-0.610643796
1112013,-0.64420934
2102014,0.12418472
10302017,-0.542858767
9142015,-0.099151315
4202016,-0.72715456
10302014,-0.57747075
5032014,-0.53355302
5032017,-0.73469576
12122014,-0.1364596
12172012,-0.66257717
12122013,-0.759177995
4212013,-0.59912539
4212015,0.78558623
4212014,-0.73402188
9152016,-0.19682607
11102013,0.35880761
6122017,-0.759572772
6162015,0.48746946
10092015,-0.02887453
10092014,0.140432415
9052013,-0.9287065
5182015,-0.07529432
9052014,-0.366246571
5182017,-0.618450746
3062015,-0.431822807
3062014,-0.77417273
10012016,-0.98663039
10012015,-0.204735624
10012014,-0.85451464
10012013,-0.6190947
12072012,-0.283320504
3172016,-0.398498987
8172016,-0.474716115
8172017,-0.49486358
8172015,-0.44938924
4102015,0.072948107
4102014,-0.79916272
5112015,0.432033375
4102013,-0.565186545
12102014,-0.57052524
3072016,-0.66859887
3072015,-0.53562607
6012016,-0.145027205
10272017,-0.38825615
10272016,-0.064937925
10272015,-0.47179118
10272014,-0.77701853
12142015,0.039618125
6302015,0.157404263
12142012,-0.7778429
6302016,-0.49353925
8082017,-0.77809604
8082014,-0.80423957
12152015,-0.48194421
12152012,-0.69470879
6312015,-0.56419399
6312016,-0.63038692
5202015,0.60081025
12162015,-0.456399333
5202016,-0.38133518
5202013,-0.56372003
9022015,-0.79623023
9022016,-0.7286816
2052014,-0.51846386
10312017,-0.482902643
2252017,0.45351273
2252015,-0.543435172
2252014,-0.916440045
6082015,-0.058661846
3102016,0.55336006
11242015,-0.59322674
7212017,-0.695156695
7212014,-0.52146119
7212015,-0.589157497
1152013,-0.653565477
8272014,-0.757422997
8272013,-0.55761854
1152014,-0.415617053
10142015,-0.120798065
10142014,-0.44885575
6192014,0.148689893
1142013,-0.636083452
1142014,-0.43035785
1142015,-0.758827498
1252017,-0.43943218
1252013,-0.685983568
4122013,-0.59197749
4302013,-0.11693043
9302014,0.468420673
11172014,0.655043135
4302015,-0.662053667
8282014,0.742553845
4152014,-0.802794
3252017,-0.69380107
3252014,0.41091573
9292015,-0.47189304
4232015,0.14468108
9172014,-0.50921575
4232013,-0.77420508
4152016,-0.66913261
2152017,-0.5081233
2152014,-0.48648754
2152013,-0.63724354
6102016,0.39582623
6102015,0.36088348
6102014,-0.55053732
6102013,0.06126259
2082016,-0.81296721
5222013,-0.612554393
1302014,-0.412066297
1302013,-0.7146155
2222013,-0.657319597
7262016,0.4212868
8312016,0.070683324
8032015,-0.48711566
1022013,-0.70471364
8312015,-0.47958727
1022014,0.54246353
10052016,-0.12727847
9182014,-0.017597005
10262013,-0.40743276
10262016,-0.51902227
10262017,-0.51662537
9182013,0.65039312
8202015,0.42788548
9212017,-0.613482293
4162013,-0.3440808
8202013,0.574127967
11222012,-0.90037294
4232014,-0.438730537
10022013,-0.828314958
9262016,-0.49490496
1092014,-0.49207341
4252014,-0.275532985
1122013,-0.89594451
1172014,-0.53583337
4252017,-0.677246138
3222013,0.15503051
8032017,-0.658452435
3222017,0.66634618
3222016,-0.589300353
6032013,-0.70078027
9012015,0.27386267
8192014,-0.51317582
6032016,-0.65140607
6032015,-0.028318555
1192017,-0.55202664
1192016,0.43508318
8112015,-0.64359633
10192016,-0.5763694
10192017,-0.638928054
9102014,0.669134348
4242015,-0.73232032
5262015,0.59338772
9102013,-0.00546955
7092014,-0.209807683
7052013,-0.5120726
1222016,-0.149049253
8102017,0.56093322
6162017,0.196347113
5022014,0.49847764
5022017,-0.76930759
10292013,-0.641402355
10292014,-0.75869879
8012016,0.40318966
2072013,-0.61593329
9292014,-0.81149648
4152015,0.178004263
1242013,-0.652675358
2072014,-0.18772088
7112013,0.60267596
6092017,-0.903317
9212015,-0.334814025
7112015,-0.48769976
7112014,-0.80892479
5142014,0.640870075
5142015,-0.66801088
2292017,-0.92818176
2292015,-0.39147358
5142013,0.022782285
12222013,-0.61021146
9202017,-0.29100155
7052016,-0.45861768
7052017,-0.39473367
6212016,0.61021283
9202013,-0.568615787
6212013,-0.626631092
12152014,-0.751871097
6242014,-0.66918755
6242015,0.47135901
