date,label,confidence,entity-label,entity-confidence
11062013,neu,0.99924134,neu,0.52521665
11082013,neu,0.99783912,,
11092013,neu,0.85498482,neg,0.5079356
11092013,neu,0.87837057,neg,0.53768159
11102013,neu,0.9666368,pos,0.35880761
11112013,neu,0.90719147,neg,0.39575875
11112013,neu,0.86515515,neu,0.86340149
11122013,neu,0.97927254,neu,0.84898491
11122013,neu,0.99014609,neu,0.93528326
11132013,neu,0.99920616,neu,0.90289306
11132013,neu,0.99778353,neg,0.43979814
11132013,neu,0.98589116,neu,0.83071621
11132013,neu,0.99679603,,
11132013,neu,0.99831789,,
11132013,neu,0.51408117,neg,0.6383118
11132013,neu,0.94198014,neg,0.55420216
9312013,neu,0.65516416,neg,0.6190947
9312013,neu,0.98427831,neu,0.97320048
9312013,neu,0.88600703,neu,0.82764985
9312013,neu,0.98383795,neu,0.45014727
11152013,neu,0.99674174,neu,0.99533699
11152013,neu,0.9821722,neg,0.97029859
11152013,neu,0.99090769,neg,0.97357818
11152013,neg,0.6508742,neu,0.94958774
11152013,neg,0.70197194,neu,0.95501428
11132013,neu,0.93657784,neu,0.85031083
11132013,neu,0.9979566,neu,0.93458337
11192013,neu,0.98168514,neg,0.71054316
11192013,neu,0.99972532,neu,0.99909895
11192013,neu,0.99977605,neu,0.99885263
11192013,neu,0.99928093,neu,0.79203375
11182013,neu,0.96138213,neu,0.59651107
11182013,neu,0.69140732,neg,0.80757143
11182013,neu,0.99940752,neu,0.78093064
11182013,neu,0.99511142,neu,0.99565316
11202013,neu,0.99591859,neg,0.77696024
11212013,neu,0.98693295,,
11212013,neu,0.99626928,,
11212013,neu,0.99688274,neg,0.43754007
11212013,neu,0.99644117,neu,0.53002399
11212013,neu,0.557827,neg,0.57543711
11212013,neu,0.99005012,neg,0.52486804
11252013,neu,0.99983322,neu,0.88443675
11252013,neu,0.93210604,,
11252013,neu,0.92332192,neu,0.84672512
11262013,neg,0.84799205,neg,0.4710825
11222013,neu,0.96920738,neu,0.97279427
11222013,neu,0.96354867,neu,0.57202409
11182013,neu,0.99912379,neu,0.99746022
11182013,neg,0.7323572,pos,0.47341436
11182013,neu,0.99411426,neu,0.67807708
11182013,neu,0.99701972,neu,0.94528727
11182013,neu,0.97530635,neu,0.8375439
11272013,neu,0.97342564,pos,0.50353795
11272013,neu,0.99881859,pos,0.50353795
11272013,neu,0.99002188,neu,0.79567132
11272013,neu,0.80339606,neu,0.79730445
11052013,neu,0.99955351,neu,0.52521665
11052013,neu,0.64887704,neu,0.55792434
11052013,neu,0.9155865,,
11052013,neu,0.99863781,neu,0.89946229
11052013,neu,0.99967307,neu,0.978124
11282013,neu,0.99527086,neu,0.6298193
12062013,neu,0.99546166,neu,0.82321861
12062013,neu,0.99974607,neu,0.72345499
12022013,neu,0.84746334,neu,0.66437179
12042013,neu,0.98238085,neu,0.95373969
12042013,neu,0.99236933,neu,0.95963613
12042013,neu,0.99850844,neg,0.60939889
12042013,neu,0.9999807,neg,0.64834431
12042013,neu,0.96741213,neg,0.54599868
12032013,neu,0.99958661,,
12032013,neu,0.99981655,pos,0.38387882
12032013,neu,0.99235108,neg,0.89253667
12032013,neu,0.99980006,neg,0.46235151
12032013,neu,0.9967845,neu,0.43983669
12032013,neu,0.99861514,neu,0.70707847
12032013,neu,0.93658621,neg,0.84059679
12032013,neu,0.99955823,neu,0.72980626
12052013,neu,0.99795324,neu,0.74387018
12052013,neu,0.99444458,neu,0.75384017
12052013,neu,0.99990867,neu,0.85040577
12052013,neu,0.89510478,neg,0.65611326
12052013,neu,0.99808427,neg,0.51470548
12052013,neu,0.99527861,neg,0.48864001
12052013,neu,0.95025912,neu,0.88516553
12052013,neu,0.99826537,neg,0.5658962
12052013,neu,0.99923435,neg,0.5658962
12092013,neg,0.56781571,pos,0.71245293
12092013,neu,0.99985735,,
12092013,neu,0.99992146,,
12092013,neu,0.97852024,pos,0.41671255
12092013,neu,0.73858656,,
12092013,neu,0.94948187,neu,0.57172001
12092013,neu,0.99881779,neu,0.69023641
12092013,neu,0.99734154,neu,0.56741453
12152013,neu,0.99997479,neu,0.59601451
12132013,neu,0.99121807,neu,0.54546325
12132013,neu,0.91665551,neg,0.50773758
12132013,neu,0.97682345,,
12122013,neg,0.6182707,neg,0.98948732
12122013,neu,0.75161205,neg,0.52886867
12122013,neu,0.99943307,neu,0.99646952
12122013,neu,0.99964692,neu,0.99613353
12122013,neu,0.97084381,,
12122013,neu,0.99933828,neu,0.95415392
12162013,neu,0.97863124,pos,0.67760354
12182013,neu,0.88501152,,
12182013,neu,0.98798909,neu,0.96596935
12182013,neu,0.99799728,neu,0.96619836
12202013,neu,0.99910918,,
12202013,neu,0.99604295,,
12222013,neu,0.89479732,neg,0.61021146
12282013,neu,0.99909696,neg,0.64124281
1022014,neu,0.9993053,neu,0.50990934
1022014,neu,0.99950081,pos,0.54246353
12232013,neg,0.50371653,neu,0.79262212
12232013,neu,0.9925074,neu,0.54760567
12232013,neg,0.5193958,neu,0.77559665
12232013,neu,0.76976346,neu,0.79299781
12232013,neu,0.83129862,,
1022014,pos,0.52645986,neu,0.45662165
1022014,neu,0.99992299,pos,0.54246353
1022014,neg,0.44444923,neu,0.49834726
12232013,neu,0.92777901,,
12232013,neg,0.57610989,neu,0.59937786
12232013,neu,0.99880323,pos,0.63485717
12232013,neu,0.99953055,pos,0.7358249
1062014,neu,0.99930579,pos,0.41721283
1062014,neu,0.74680303,,
1062014,neu,0.99884743,,
1062014,neu,0.99912167,,
1082014,neu,0.99624942,neu,0.70969968
1082014,neu,0.92082793,neg,0.44152293
1082014,neu,0.91359249,neg,0.41952731
1092014,neu,0.94196437,neu,0.53541202
1092014,neu,0.88545903,neg,0.49207341
1102014,neu,0.98832022,,
1102014,neu,0.98703742,neu,0.46325512
1132014,neu,0.99411489,neu,0.98817529
1132014,neu,0.99865621,pos,0.66398356
1132014,neu,0.98290428,neu,0.68538371
1132014,neu,0.99317876,neu,0.79998095
1142014,neu,0.99991158,neu,0.99627327
1142014,neu,0.67459249,neg,0.43035785
1152014,neu,0.99831657,neu,0.83291948
1152014,neg,0.68848594,neu,0.57408508
1152014,neu,0.97825007,pos,0.37996394
1152014,neu,0.99980774,neg,0.81340755
1152014,neu,0.99974991,neg,0.81340755
1162014,neu,0.9836684,neu,0.7359638
1162014,neu,0.99445398,neu,0.8403073
1162014,neu,0.99998548,neu,0.97615293
1162014,neu,0.99997934,neu,0.9821429
1162014,neu,0.97762292,pos,0.65517055
1162014,neg,0.63886191,pos,0.49440766
1172014,neu,0.79156538,neu,0.77356146
1172014,neu,0.96450031,neg,0.53583337
1172014,neu,0.98762597,neu,0.8403073
1172014,neu,0.98417128,neu,0.46137825
1212014,neu,0.99838076,neu,0.85946169
1212014,neu,0.9929737,neu,0.96233684
1232014,neu,0.9977395,neu,0.48073927
1232014,neg,0.61054736,neg,0.7201933
12242013,neu,0.99870378,pos,0.5240863
1242014,neu,0.9999761,neu,0.96096878
1242014,neu,0.99386246,neu,0.58505443
1242014,neu,0.9954163,neu,0.55420449
1242014,neu,0.99967268,,
1242014,neu,0.99990247,,
1232014,neg,0.6714269,neg,0.72981279
1232014,neu,0.89008091,neu,0.9667767
1232014,neu,0.96987598,neu,0.94358446
1232014,neg,0.58619865,neu,0.64282009
1232014,neu,0.99797379,neu,0.67495029
1232014,neu,0.95324055,,
1232014,neu,0.6899023,,
1242014,neu,0.99932603,,
1242014,neu,0.99290031,neu,0.97559869
1222014,neu,0.99656463,,
1222014,neu,0.63766655,neg,0.85259179
1222014,neu,0.96603586,neu,0.90442044
1282014,neu,0.9388261,,
1282014,neu,0.97322393,neg,0.47721839
1282014,neu,0.99753438,neu,0.77539078
1282014,neu,0.99960142,neu,0.9298437
1282014,neu,0.99171252,neg,0.64823649
1282014,neu,0.97006358,neg,0.66979285
1282014,neu,0.94886116,,
1282014,neg,0.85534237,pos,0.67784487
1272014,neu,0.99987776,neu,0.88847392
1272014,neu,0.99928626,neg,0.79131054
1272014,neu,0.95029474,neu,0.45475487
1272014,neu,0.99985737,neu,0.89250239
1272014,neg,0.68109206,neu,0.52038655
1272014,neg,0.69734333,neu,0.67192934
1272014,neu,0.97829914,neu,0.44861793
1272014,neu,0.97280396,neg,0.55281742
1272014,neu,0.85474318,neu,0.44427883
1292014,neu,0.83972828,,
1292014,neu,0.99973183,,
1292014,neu,0.99445411,,
1292014,neu,0.99291656,,
1302014,neu,0.99877653,neg,0.4054196
1302014,neu,0.96725489,,
1302014,neu,0.97817259,,
1302014,neu,0.99991149,neu,0.94342958
1302014,neu,0.99998527,neu,0.95888736
1302014,neu,0.99982494,neg,0.41439323
1302014,neu,0.99992076,neg,0.41638606
1302014,neu,0.99994343,,
1302014,neu,0.9996936,,
2032014,neu,0.75861259,,
2042014,neu,0.99920036,neu,0.88413806
2042014,neu,0.99997833,neu,0.70901364
2042014,neu,0.99998938,neu,0.70901364
2052014,neu,0.99879822,neu,0.82518086
2052014,neu,0.99941279,neg,0.51846386
2062014,neu,0.99532188,,
2062014,neu,0.79354599,neg,0.38404258
2072014,neu,0.99929479,neu,0.9703971
2072014,neu,0.9998689,neu,0.95881308
2072014,neu,0.99983555,neu,0.95881308
2072014,neu,0.99193861,neu,0.78958348
2072014,neu,0.80186499,pos,0.45636332
2072014,neu,0.98897211,neu,0.75998126
2072014,neu,0.93198777,neg,0.4094242
2072014,neu,0.99254722,neu,0.85892625
2072014,neu,0.89422392,neg,0.61010176
2092014,neu,0.95108557,neg,0.65850693
2092014,neu,0.99956959,neg,0.38422411
2122014,neu,0.96129296,neu,0.71774335
2122014,neu,0.98190132,neu,0.6142319
2122014,neu,0.98040297,neu,0.8522256
2122014,neu,0.99019846,neu,0.97021435
2132014,neu,0.99963463,neu,0.91188986
2132014,neu,0.99961704,neg,0.55268217
2132014,neu,0.99481309,pos,0.45896858
2132014,neu,0.99518484,pos,0.44572173
2112014,neu,0.99152423,neu,0.99023955
