date,bullishness
20140702,-0.32017413
20140709,-0.209807683
20140710,-0.09792094
20140711,-0.80892479
20140716,-0.007297175
20140717,-0.1760476
20140721,-0.52146119
20140722,-0.49496388
20140723,-0.320526808
20140724,-0.736944553
20140725,-0.243440313
20140729,0.06150448
20140730,-0.60489997
20140731,-0.67775447
20140801,0.76238441
20140805,0.216523047
20140806,-0.69114047
20140808,-0.80423957
20140812,-0.0202297
20140813,0.36763
20140815,-0.36761205
20140819,-0.51317582
20140822,-0.61993827
20140826,-0.672049565
20140827,-0.757422997
20140828,0.742553845
20140829,0.449403855
20140903,-0.329442458
20140904,-0.247100667
20140905,-0.366246571
20140906,0.64368171
20140907,-0.085390815
20140908,0.003925783
20140909,-0.347978495
20140910,0.669134348
20140911,-0.40270622
20140912,-0.82564809
20140915,-0.13131128
20140916,-0.5698696
20140917,-0.50921575
20140918,-0.017597005
20140919,-0.22505833
20140922,-0.52054614
20140923,-0.83959883
20140924,-0.859214283
20140925,-0.458121981
20140926,-0.717540806
20140928,-0.45904911
20140929,-0.81149648
20140930,0.468420673
20141001,-0.85451464
20141003,0.47717916
20141006,-0.80078492
20141007,0.4498346
20141008,0.180203163
20141009,0.140432415
20141010,-0.686793583
20141013,-0.65900076
20141014,-0.44885575
20141015,0.166246817
20141016,0.04657603
20141020,-0.416248792
20141021,0.201868708
20141022,0.213781578
20141023,-0.430117077
20141024,0.44953795
20141027,-0.77701853
20141028,-0.761424325
20141029,-0.75869879
20141030,-0.57747075
20141103,-0.58713286
20141104,0.61845666
20141106,-0.8097035
20141117,0.655043135
20141119,-0.63631859
20141120,-0.80142705
20141125,-0.38699993
20141201,-0.82751216
20141202,-0.85891185
20141210,-0.57052524
20141212,-0.1364596
20141215,-0.751871097
20141216,0.046646875
20141223,-0.392559184
20150105,0.64765113
20150107,-0.63483836
20150109,-0.74048698
20150113,-0.55365605
20150114,-0.758827498
20150115,-0.5101738
20150126,-0.52154831
20150127,-0.209586037
20150128,-0.241863787
20150129,-0.349568174
20150202,0.01450347
20150203,-0.4660192
20150210,0.58179087
20150211,-0.615353573
20150212,-0.54393231
20150213,-0.742860875
20150214,-0.03285425
20150217,-0.54661934
20150218,-0.63622382
20150219,-0.831505992
20150220,-0.455850027
20150223,0.174244205
20150224,0.17161468
20150225,-0.543435172
20150226,-0.01266897
20150227,0.60748901
20150301,-0.39147358
20150302,-0.65630882
20150303,0.538245825
20150304,0.26853858
20150305,-0.680872027
20150306,-0.431822807
20150307,-0.53562607
20150309,0.69557388
20150310,0.62979434
20150311,-0.433959642
20150313,0.40145592
20150317,-0.475981387
20150318,0.24405568
20150319,0.42138764
20150320,-0.57706328
20150324,-0.46551257
20150326,-0.542439515
20150327,0.9528259
20150402,0.4990652
20150408,0.63497587
20150409,0.53672024
20150410,0.072948107
20150413,-0.316607516
20150415,0.178004263
20150421,0.78558623
20150422,-0.449987705
20150423,0.14468108
20150424,-0.73232032
20150427,-0.211012213
20150428,-0.610643796
20150429,-0.66553824
20150430,-0.662053667
20150501,-0.60389613
20150504,-0.41772033
20150506,-0.53218086
20150511,0.432033375
20150514,-0.66801088
20150515,-0.53375727
20150518,-0.07529432
