date,label,confidence,entity-label,entity-confidence
12152014,neu,0.99926821,,
12152014,neu,0.99903773,neu,0.77519108
12152014,neu,0.99903865,neu,0.7730766
12152014,neu,0.9993872,neu,0.848546
12152014,neg,0.42363558,neg,0.79577548
12152014,neu,0.38937015,neg,0.69990218
12152014,neu,0.57217347,neg,0.75993563
12152014,neu,0.99930809,,
12172014,neu,0.99941705,neu,0.6432582
12172014,neu,0.99953274,neu,0.8662961
12172014,neu,0.99869376,,
12172014,neu,0.99922966,,
12172014,neu,0.99364357,neu,0.48553915
12162014,pos,0.41969403,neg,0.53996138
12162014,pos,0.53748289,pos,0.63325513
12162014,neu,0.95706858,neu,0.64170969
12162014,neu,0.99579307,,
12162014,neu,0.94097001,,
12182014,neu,0.95875604,,
12182014,neu,0.67735998,neu,0.77990382
12232014,neu,0.99611127,neu,0.42607218
12232014,neu,0.52533682,neg,0.52241478
12232014,neu,0.51276581,neg,0.52241478
12232014,neu,0.65918956,neg,0.53693786
12232014,neu,0.87015124,pos,0.49093607
12232014,neg,0.96593369,neg,0.87196457
12292014,neu,0.99779839,,
12292014,neu,0.99127283,,
12292014,neu,0.99976946,neu,0.96052672
12292014,neu,0.99973993,neu,0.82043292
12282014,pos,0.86160942,neu,0.62454599
12282014,neu,0.99818768,neu,0.52673945
12282014,neu,0.9959543,,
12282014,neu,0.99600015,,
1062015,neg,0.9062693,,
1072015,neu,0.82701408,,
1072015,neu,0.88699862,neg,0.63483836
1092015,neg,0.49488477,neg,0.65925245
1092015,neg,0.54221052,neg,0.7809584
1092015,neu,0.57340828,neg,0.78125009
1052015,pos,0.93940195,pos,0.64765113
1132015,neg,0.57051989,neg,0.55365605
1132015,neu,0.87563788,neu,0.42028962
1122015,neu,0.98037513,,
1152015,neu,0.97578977,neu,0.66228053
1152015,neu,0.99997813,neg,0.45306294
1152015,neg,0.77117914,,
1152015,neg,0.49919983,neu,0.44431251
1152015,neg,0.47362827,neu,0.75886334
1152015,neu,0.99996016,neg,0.45306294
1152015,neu,0.99995588,neg,0.45306294
1152015,neu,0.99266465,neg,0.68150638
1152015,neu,0.63708899,,
1262015,neu,0.81351902,neg,0.52154831
1142015,neu,0.88103377,neu,0.47546799
1142015,neu,0.93864118,neu,0.48882259
1142015,neu,0.60981158,neg,0.68874747
1272015,neu,0.99748811,neu,0.73892062
1272015,neu,0.5286936,,
1272015,neu,0.99948238,pos,0.53318831
1142015,neu,0.64571613,neg,0.69547892
1142015,neu,0.81083428,neg,0.73160157
1142015,neu,0.97580052,neg,0.88783986
1142015,neu,0.72242764,neg,0.79046967
1142015,neu,0.96098733,neu,0.66157615
1272015,neg,0.52684728,neg,0.59370962
1272015,neu,0.50568465,,
1272015,neu,0.74477778,neg,0.5682368
1272015,neu,0.96312982,,
1272015,neu,0.96156494,neu,0.41109861
1272015,neu,0.99694991,,
1292015,neu,0.86224251,neu,0.59720103
1292015,neu,0.99871017,neg,0.81110803
1292015,neu,0.50314449,neg,0.43881118
1292015,neu,0.99376557,neu,0.64764428
1292015,neu,0.98227786,neg,0.51278548
1292015,neu,0.99480258,pos,0.42838785
1292015,neu,0.99662704,neg,0.41352403
1292015,neu,0.90138395,neu,0.60231934
1292015,neu,0.9997328,neu,0.90795353
1282015,neu,0.77441479,neg,0.65138915
1282015,neg,0.46097253,,
1282015,neu,0.93345041,neg,0.5499161
1282015,neu,0.9965039,neu,0.78140959
1282015,neu,0.99869769,neu,0.59256551
1282015,neu,0.98604014,neu,0.63832286
1282015,neu,0.9105511,pos,0.47571389
1282015,neu,0.99994818,neu,0.78680709
1282015,neu,0.98865776,neu,0.89096201
2022015,neu,0.59751532,neg,0.42301228
2022015,neu,0.70671187,pos,0.45201922
2052015,neu,0.99269663,neu,0.84905301
2052015,neu,0.99211378,neu,0.84905301
2052015,neu,0.99214676,neu,0.81115577
2052015,neu,0.99641659,neu,0.84905301
2102015,neu,0.99248511,neu,0.5825357
2102015,neu,0.9524526,neu,0.85727789
2102015,neu,0.94042995,neu,0.68876213
2102015,neu,0.9020226,neu,0.75119103
2102015,neu,0.8911276,pos,0.51473157
2102015,neu,0.99830666,pos,0.51495263
2112015,neu,0.89166568,neg,0.51965535
2112015,neg,0.82579527,neg,0.61806445
2112015,neg,0.74399392,neg,0.70834092
2112015,neu,0.64698397,neu,0.57973274
2112015,neu,0.96705188,neu,0.47409602
2112015,neu,0.99991097,neu,0.99774085
2112015,neu,0.98627682,neu,0.99038848
2102015,neu,0.98897669,neu,0.58844408
2102015,neu,0.60268207,neu,0.59235434
2102015,neg,0.36058396,pos,0.71568841
2122015,neu,0.99858293,neg,0.63869786
2122015,neu,0.99997046,,
2122015,neu,0.99998506,neu,0.40959336
2122015,neu,0.81637912,neu,0.92697444
2122015,neu,0.86307309,neu,0.97789178
2122015,neu,0.70229347,neu,0.83306
2132015,neu,0.86674229,neu,0.77514463
2132015,neu,0.6029986,neg,0.76560512
2132015,neu,0.99903242,neg,0.63869786
2132015,neu,0.82272532,neg,0.76042472
2132015,neu,0.72926172,neg,0.8067158
2112015,neu,0.99977541,neu,0.98624767
2112015,neu,0.99476816,neu,0.98624767
2142015,neu,0.63997891,neu,0.60174963
2142015,pos,0.696394,pos,0.72747516
2142015,neu,0.82657095,neg,0.79318366
2172015,neu,0.98085977,neu,0.80079852
2192015,neu,0.8927043,neg,0.9673764
2192015,neu,0.86575044,neg,0.98051549
2192015,neu,0.88665681,neg,0.97857273
2192015,neu,0.65394954,neg,0.78232965
2182015,neu,0.98623785,neu,0.80649304
2182015,neu,0.95899982,neg,0.63622382
2182015,neu,0.89499377,neg,0.63622382
2182015,neu,0.97945847,neu,0.72384387
2122015,neu,0.70143113,neu,0.80493561
2122015,neu,0.99977808,neu,0.6230316
2122015,neu,0.97356032,neg,0.44916676
2202015,neu,0.91640554,neg,0.87176448
2202015,neu,0.92970507,neg,0.87176448
2202015,neg,0.60380129,,
2202015,neg,0.48029329,pos,0.37597888
2202015,neu,0.8483741,,
2202015,neu,0.71790854,neu,0.71072614
2172015,neu,0.99800863,neu,0.75119676
2172015,neu,0.99983218,,
2172015,neu,0.99981358,neu,0.84363001
2172015,neu,0.97774185,neg,0.54661934
2172015,neu,0.97693817,neg,0.54661934
2172015,neu,0.99674975,neu,0.95255785
2192015,neu,0.72046007,neg,0.44873569
2232015,neu,0.88379854,pos,0.44358944
2232015,neu,0.953258,pos,0.44358944
2232015,neu,0.97905184,neu,0.65311749
2242015,neu,0.78007744,neu,0.42390567
2242015,neu,0.898932,pos,0.51492141
2242015,neu,0.82636323,pos,0.37236178
2242015,neg,0.62410618,neg,0.37243915
2032015,neg,0.79434131,neg,0.4660192
2252015,neu,0.98569534,neu,0.64994298
2252015,neu,0.95948296,neg,0.44757155
2252015,neg,0.81293179,neg,0.5520175
2252015,neg,0.70690842,neg,0.5511711
2252015,neg,0.74888533,neg,0.64144532
2252015,neu,0.60081978,neg,0.52497039
