date,label,confidence,entity-label,entity-confidence
6062012,pos,0.50189445,,
6062012,neu,0.99808028,,
6062012,neu,0.9933193,,
6062012,neu,0.42306979,,
6062012,neu,0.59538949,,
6062012,neu,0.54501732,,
6072012,pos,0.62981358,,
6072012,pos,0.53385226,,
6072012,neu,0.87877617,,
6072012,neg,0.95500039,,
6072012,neu,0.5764475,,
6082012,neu,0.60926055,,
6082012,neg,0.44464296,,
6082012,neg,0.49213121,,
6082012,neu,0.94582607,,
6062012,neu,0.98339586,,
6062012,neu,0.98831291,,
6072012,neu,0.49859081,,
6072012,neu,0.56300788,,
6072012,pos,0.45663342,,
6072012,neg,0.92702039,,
6082012,neu,0.94120963,,
6082012,neg,0.95500039,,
6122012,pos,0.62256626,,
6122012,neg,0.52098659,,
6152012,neu,0.95871408,,
6152012,pos,0.99359273,,
6152012,pos,0.98879469,pos,0.51868229
6152012,pos,0.6008869,,
6152012,neu,0.85492072,,
6162012,pos,0.52802833,,
6182012,pos,0.44293817,,
6182012,neu,0.97578302,,
6182012,neu,0.98261186,,
6182012,neu,0.79816475,,
6192012,neu,0.81957272,,
6152012,neu,0.83011249,,
6152012,neu,0.92897028,,
6152012,neu,0.92618014,,
6152012,neu,0.94222503,,
6192012,neu,0.6248351,,
6192012,neg,0.75863568,,
6192012,neu,0.97314214,,
6192012,neu,0.97510591,,
6202012,neg,0.57833319,,
6202012,neu,0.70800958,,
6202012,pos,0.54626391,,
6202012,pos,0.50554891,,
6212012,neu,0.99940759,,
6202012,pos,0.44422114,,
6202012,neu,0.96349655,,
6202012,neu,0.97118543,,
6202012,neg,0.77538142,,
6212012,neu,0.98145152,,
6212012,neu,0.98286099,,
6212012,neu,0.94749462,neu,0.76244897
6212012,neu,0.86323799,,
6212012,neu,0.96219142,neu,0.76244897
6212012,neg,0.58002653,,
6222012,pos,0.78519517,,
6222012,neg,0.57182765,,
6222012,neu,0.99759883,,
6222012,neu,0.90448282,,
